csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Oatmeal with Apples and Cinnamon,300,1 cup,5,54,10,8,15,40,1.5,300,5
Monday,Snack,Blackberries,60,1 cup,0.5,14,7,1,5,42,0.6,150,7
Monday,Lunch,Brussels Sprouts with Quinoa,400,1 cup,10,60,2,15,20,50,2.5,400,8
Monday,Snack,Walnuts,200,1 oz,18,4,1,5,5,28,0.8,125,2
Monday,Dinner,Grilled Chicken with Kale Salad,500,150g,15,10,2,45,30,80,2.5,600,6
Total Calories for Monday, , , , , , , , , , , , , , 1460

Tuesday,Breakfast,Smoothie with Spinach and Pear,250,1 serving,2,45,15,5,10,30,0.8,200,4
Tuesday,Snack,Cranberries,50,1 cup,0,13,0,0,1,0.5,0.1,50,4
Tuesday,Lunch,Vegetable Soup with Carrots and Leeks,350,1 bowl,5,60,8,10,15,30,2,300,5
Tuesday,Snack,Hazelnuts,180,1 oz,16,5,1,5,5,20,1.5,100,3
Tuesday,Dinner,Roasted Pumpkin with Chickpeas,450,1 cup,10,70,5,20,25,60,3,500,8
Total Calories for Tuesday, , , , , , , , , , , , , , 1280

Wednesday,Breakfast,Yogurt with Pomegranate Seeds,200,1 cup,5,30,10,8,10,20,0.5,150,3
Wednesday,Snack,Carrot Sticks with Hummus,150,1 cup,5,20,5,4,5,15,0.7,200,4
Wednesday,Lunch,Cabbage and Potato Stew,400,1 bowl,10,60,5,15,20,40,2.5,350,7
Wednesday,Snack,Chestnuts,170,1 oz,1.5,36,0.5,4,5,10,0.5,100,2
Wednesday,Dinner,Baked Salmon with Broccoli,500,150g,20,0,0,45,30,80,1.5,600,5
Total Calories for Wednesday, , , , , , , , , , , , , , 1420

Thursday,Breakfast,Whole Grain Toast with Avocado,300,2 slices,15,30,2,6,10,20,1.5,250,7
Thursday,Snack,Radishes,20,1 cup,0,4,2,0,1,0.5,0.1,30,1
Thursday,Lunch,Quinoa Salad with Roasted Vegetables,400,1 cup,10,60,5,15,20,50,2,400,8
Thursday,Snack,Apple Slices with Peanut Butter,200,1 medium apple,8,30,10,5,10,20,0.5,150,4
Thursday,Dinner,Stuffed Bell Peppers with Brown Rice,450,1 pepper,15,70,5,20,25,60,2.5,500,6
Total Calories for Thursday, , , , , , , , , , , , , , 1370

Friday,Breakfast,Smoothie with Kale and Banana,250,1 serving,2,45,15,5,10,30,0.8,200,4
Friday,Snack,Beetroot Chips,100,1 oz,5,15,0,2,5,10,0.5,150,2
Friday,Lunch,Vegetable Stir-fry with Tofu,400,1 cup,10,60,5,20,25,50,2,400,8
Friday,Snack,Peanuts,170,1 oz,14,6,1,7,5,15,0.5,100,3
Friday,Dinner,Grilled Chicken with Sweet Potato,500,150g,15,60,5,45,30,80,2.5,600,6
Total Calories for Friday, , , , , , , , , , , , , , 1420

Saturday,Breakfast,Oatmeal with Pear and Cinnamon,300,1 cup,5,54,10,8,15,40,1.5,300,5
Saturday,Snack,Blackberries,60,1 cup,0.5,14,7,1,5,42,0.6,150,7
Saturday,Lunch,Brussels Sprouts with Quinoa,400,1 cup,10,60,2,15,20,50,2.5,400,8
Saturday,Snack,Walnuts,200,1 oz,18,4,1,5,5,28,0.8,125,2
Saturday,Dinner,Grilled Chicken with Kale Salad,500,150g,15,10,2,45,30,80,2.5,600,6
Total Calories for Saturday, , , , , , , , , , , , , , 1460

Sunday,Breakfast,Smoothie with Spinach and Pear,250,1 serving,2,45,15,5,10,30,0.8,200,4
Sunday,Snack,Cranberries,50,1 cup,0,13,0,0,1,0.5,0.1,50,4
Sunday,Lunch,Vegetable Soup with Carrots and Leeks,350,1 bowl,5,60,8,10,15,30,2,300,5
Sunday,Snack,Hazelnuts,180,1 oz,16,5,1,5,5,20,1.5,100,3
Sunday,Dinner,Roasted Pumpkin with Chickpeas,450,1 cup,10,70,5,20,25,60,3,500,8
Total Calories for Sunday, , , , , , , , , , , , , , 1280
