csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Oatmeal with Apples and Cinnamon,250,1 cup,5,45,10,7,15,50,1.5,200,5
Monday,Snack,Carrot Sticks with Hummus,150,1 cup,8,20,5,4,10,40,1.0,150,3
Monday,Lunch,Quinoa Salad with Spinach and Fennel,350,1.5 cups,10,60,5,12,20,80,2.5,300,8
Monday,Snack,Pear,100,1 medium,0,27,15,1,2,20,0.2,150,5
Monday,Dinner,Grilled Chicken with Roasted Brussels Sprouts,400,150g chicken,15,20,0,40,30,30,2.0,600,6
Total Calories for Monday,,,"1350",,,,,"",,,,,
Tuesday,Breakfast,Smoothie with Spinach, Banana, and Citrus,300,1 large,5,60,20,5,10,50,1.0,300,4
Tuesday,Snack,Radicchio Salad with Lemon Dressing,120,1 cup,7,15,2,3,5,30,0.5,100,2
Tuesday,Lunch,Farro with Roasted Beets and Goat Cheese,400,1.5 cups,15,60,5,15,25,60,2.0,400,7
Tuesday,Snack,Pomegranate Seeds,100,1/2 cup,1,25,15,2,5,10,0.3,150,3
Tuesday,Dinner,Baked Cauliflower with Garlic and Herbs,350,1 cup,10,30,5,10,15,40,1.5,250,5
Total Calories for Tuesday,,,"1370",,,,,"",,,,,
Wednesday,Breakfast,Yogurt with Pear and Cinnamon,250,1 cup,5,30,10,10,15,40,0.5,200,3
Wednesday,Snack,Apple Slices with Cinnamon,100,1 medium,0,25,20,1,2,10,0.3,150,4
Wednesday,Lunch,Vegetable Soup with Kale and Potatoes,300,2 cups,8,40,5,10,15,50,2.0,400,6
Wednesday,Snack,Chestnuts,150,1/2 cup,5,30,0,3,5,20,1.0,200,5
Wednesday,Dinner,Stuffed Bell Peppers with Quinoa and Vegetables,400,2 peppers,10,50,5,15,20,60,2.5,300,7
Total Calories for Wednesday,,,"1200",,,,,"",,,,,
Thursday,Breakfast,Chia Pudding with Citrus,250,1 cup,10,30,15,5,10,40,1.0,200,5
Thursday,Snack,Carrot and Fennel Sticks,100,1 cup,0,25,5,2,2,10,0.2,150,3
Thursday,Lunch,Brussels Sprouts Salad with Apples,350,1.5 cups,15,40,10,10,15,50,1.5,300,6
Thursday,Snack,Pear,100,1 medium,0,27,15,1,2,20,0.2,150,5
Thursday,Dinner,Grilled Fish with Roasted Vegetables,400,150g fish,15,20,0,40,30,30,2.0,600,6
Total Calories for Thursday,,,"1300",,,,,"",,,,,
Friday,Breakfast,Oatmeal with Pomegranate,250,1 cup,5,45,10,7,15,50,1.5,200,5
Friday,Snack,Radicchio with Balsamic Vinegar,120,1 cup,7,15,2,3,5,30,0.5,100,2
Friday,Lunch,Quinoa Bowl with Roasted Vegetables,350,1.5 cups,10,60,5,12,20,80,2.5,300,8
Friday,Snack,Apple,100,1 medium,0,27,15,1,2,20,0.2,150,5
Friday,Dinner,Stuffed Zucchini with Farro and Herbs,400,2 zucchinis,10,50,5,15,20,60,2.0,300,7
Total Calories for Friday,,,"1320",,,,,"",,,,,
Saturday,Breakfast,Smoothie with Spinach and Banana,300,1 large,5,60,20,5,10,50,1.0,300,4
Saturday,Snack,Carrot Sticks with Hummus,150,1 cup,8,20,5,4,10,40,1.0,150,3
Saturday,Lunch,Vegetable Stir-fry with Broccoli and Cauliflower,350,2 cups,10,40,5,10,15,50,2.0,400,6
Saturday,Snack,Pomegranate Seeds,100,1/2 cup,1,25,15,2,5,10,0.3,150,3
Saturday,Dinner,Grilled Chicken with Roasted Potatoes,400,150g chicken,15,20,0,40,30,30,2.0,600,6
Total Calories for Saturday,,,"1400",,,,,"",,,,,
Sunday,Breakfast,Yogurt with Apples and Cinnamon,250,1 cup,5,30,10,10,15,40,0.5,200,3
Sunday,Snack,Chestnuts,150,1/2 cup,5,30,0,3,5,20,1.0,200,5
Sunday,Lunch,Farro Salad with Spinach and Fennel,400,1.5 cups,15,60,5,15,25,60,2.0,400,7
Sunday,Snack,Radicchio Salad with Lemon Dressing,120,1 cup,7,15,2,3,5,30,0.5,100,2
Sunday,Dinner,Baked Cauliflower with Garlic and Herbs,350,1 cup,10,30,5,10,15,40,1.5,250,5
Total Calories for Sunday,,,"1370",,,,,"",,,,,
