csv
Day,Meal,Food,Calories,Serving Size,Fats (g),Carbohydrates (g),Sugars (g),Proteins (g),Percent Daily Value (%),Calcium (mg),Iron (mg),Potassium (mg),Fiber (g)
Monday,Breakfast,Pomegranate Yogurt Parfait,350,1 cup,10,50,20,15,15,200,1.5,300,5
Monday,Snack,Apple Slices with Olive Oil,150,1 medium apple,7,20,15,1,5,20,0.5,150,3
Monday,Lunch,Chickpea Salad with Spinach,400,2 cups,15,50,5,20,20,100,3,400,10
Monday,Snack,Carrot Sticks with Hummus,200,1 cup,8,30,5,5,10,50,1.5,200,4
Monday,Dinner,Grilled Fish with Zucchini,500,200g,20,30,0,40,25,150,2,500,6
Total Calories for Monday, , , 1600, , , , , , , , , , 

Tuesday,Breakfast,Spinach and Egg Omelette,300,2 eggs,20,5,0,20,15,100,2,250,2
Tuesday,Snack,Fig and Yogurt,200,1 cup,5,30,15,5,10,150,1,200,3
Tuesday,Lunch,Bulgur with Roasted Vegetables,450,1.5 cups,10,70,10,15,15,80,2.5,350,8
Tuesday,Snack,Orange Slices,100,1 medium orange,0,25,20,1,5,50,0.5,200,4
Tuesday,Dinner,Beef and Broccoli Stir-fry,600,200g,25,40,5,50,30,200,3,600,5
Total Calories for Tuesday, , , 1650, , , , , , , , , , 

Wednesday,Breakfast,Apple and Oatmeal,350,1 cup,5,60,20,10,10,50,1,200,4
Wednesday,Snack,Pear with Cheese,200,1 medium pear,8,30,15,5,10,100,1.5,150,3
Wednesday,Lunch,Lentil Soup,400,2 cups,10,60,5,25,20,150,3,300,8
Wednesday,Snack,Beetroot Salad,150,1 cup,5,25,5,5,5,50,1,200,4
Wednesday,Dinner,Stuffed Eggplant,500,1 large eggplant,15,40,10,30,25,200,2,400,6
Total Calories for Wednesday, , , 1650, , , , , , , , , , 

Thursday,Breakfast,Citrus Smoothie,300,1 cup,5,60,25,5,10,100,1,200,4
Thursday,Snack,Grapes,100,1 cup,0,25,20,1,5,50,0.5,150,1
Thursday,Lunch,Quinoa Salad with Vegetables,450,1.5 cups,10,70,10,15,15,80,2.5,350,8
Thursday,Snack,Carrot and Cucumber Sticks,100,1 cup,0,20,5,2,5,30,0.5,100,2
Thursday,Dinner,Grilled Chicken with Cauliflower,600,200g,20,30,0,50,25,150,2,500,6
Total Calories for Thursday, , , 1650, , , , , , , , , , 

Friday,Breakfast,Yogurt with Honey and Nuts,350,1 cup,15,40,20,10,15,200,1.5,300,5
Friday,Snack,Orange with Almonds,200,1 medium orange,10,30,20,5,10,50,1,150,3
Friday,Lunch,Chickpea and Spinach Stew,400,2 cups,15,50,5,20,20,100,3,400,10
Friday,Snack,Apple Chips,150,1 cup,5,30,15,1,5,20,0.5,150,3
Friday,Dinner,Stuffed Peppers,500,2 peppers,20,40,10,30,25,150,2,400,6
Total Calories for Friday, , , 1650, , , , , , , , , , 

Saturday,Breakfast,Oatmeal with Figs,350,1 cup,5,60,20,10,10,50,1,200,4
Saturday,Snack,Pomegranate Seeds,150,1 cup,0,30,20,1,5,50,0.5,150,3
Saturday,Lunch,Vegetable Stir-fry with Rice,450,2 cups,10,70,10,15,15,80,2.5,350,8
Saturday,Snack,Carrot and Hummus,200,1 cup,8,30,5,5,10,50,1.5,200,4
Saturday,Dinner,Grilled Fish with Salad,500,200g,20,30,0,40,25,150,2,500,6
Total Calories for Saturday, , , 1650, , , , , , , , , , 

Sunday,Breakfast,Spinach and Cheese Omelette,300,2 eggs,20,5,0,20,15,100,2,250,2
Sunday,Snack,Fig and Yogurt,200,1 cup,5,30,15,5,10,150,1,200,3
Sunday,Lunch,Lentil Salad with Vegetables,400,2 cups,10,60,5,25,20,150,3,300,8
Sunday,Snack,Beetroot Salad,150,1 cup,5,25,5,5,5,50,1,200,4
Sunday,Dinner,Stuffed Zucchini,500,1 large zucchini,15,40,10,30,25,200,2,400,6
Total Calories for Sunday, , , 1650, , , , , , , , , , 
