Area,Item,Unit,Value,Sentence
Afghanistan,"Almonds, in shell",t,64000.0,"The production of Almonds, in shell in Afghanistan is 64000.0 t per year"
Afghanistan,"Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw",t,17883.38,"The production of Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw in Afghanistan is 17883.38 t per year"
Afghanistan,Apples,t,318000.0,The production of Apples in Afghanistan is 318000.0 t per year
Afghanistan,Apricots,t,170507.92,The production of Apricots in Afghanistan is 170507.92 t per year
Afghanistan,Barley,t,110000.0,The production of Barley in Afghanistan is 110000.0 t per year
Afghanistan,Butter and ghee of sheep milk,t,4588.54,The production of Butter and ghee of sheep milk in Afghanistan is 4588.54 t per year
Afghanistan,Butter of cow milk,t,36798.21,The production of Butter of cow milk in Afghanistan is 36798.21 t per year
Afghanistan,"Buttermilk, dry",t,5884.56,"The production of Buttermilk, dry in Afghanistan is 5884.56 t per year"
Afghanistan,Cantaloupes and other melons,t,809194.26,The production of Cantaloupes and other melons in Afghanistan is 809194.26 t per year
Afghanistan,"Cattle fat, unrendered",t,2002.72,"The production of Cattle fat, unrendered in Afghanistan is 2002.72 t per year"
Afghanistan,"Cheese from milk of goats, fresh or processed",t,10651.12,"The production of Cheese from milk of goats, fresh or processed in Afghanistan is 10651.12 t per year"
Afghanistan,"Cheese from milk of sheep, fresh or processed",t,12236.12,"The production of Cheese from milk of sheep, fresh or processed in Afghanistan is 12236.12 t per year"
Afghanistan,"Cotton lint, ginned",t,25691.0,"The production of Cotton lint, ginned in Afghanistan is 25691.0 t per year"
Afghanistan,Cotton seed,t,50500.0,The production of Cotton seed in Afghanistan is 50500.0 t per year
Afghanistan,Cottonseed oil,t,8199.22,The production of Cottonseed oil in Afghanistan is 8199.22 t per year
Afghanistan,"Edible offal of cattle, fresh, chilled or frozen",t,14327.13,"The production of Edible offal of cattle, fresh, chilled or frozen in Afghanistan is 14327.13 t per year"
Afghanistan,"Edible offal of goat, fresh, chilled or frozen",t,9221.22,"The production of Edible offal of goat, fresh, chilled or frozen in Afghanistan is 9221.22 t per year"
Afghanistan,"Edible offal of sheep, fresh, chilled or frozen",t,20825.0,"The production of Edible offal of sheep, fresh, chilled or frozen in Afghanistan is 20825.0 t per year"
Afghanistan,"Edible offals of camels and other camelids, fresh, chilled or frozen",t,544.32,"The production of Edible offals of camels and other camelids, fresh, chilled or frozen in Afghanistan is 544.32 t per year"
Afghanistan,Fat of camels,t,254.01,The production of Fat of camels in Afghanistan is 254.01 t per year
Afghanistan,Figs,t,29437.38,The production of Figs in Afghanistan is 29437.38 t per year
Afghanistan,"Game meat, fresh, chilled or frozen",t,8010.44,"The production of Game meat, fresh, chilled or frozen in Afghanistan is 8010.44 t per year"
Afghanistan,"Goat fat, unrendered",t,1747.18,"The production of Goat fat, unrendered in Afghanistan is 1747.18 t per year"
Afghanistan,Grapes,t,910000.0,The production of Grapes in Afghanistan is 910000.0 t per year
Afghanistan,"Hen eggs in shell, fresh",t,21564.4,"The production of Hen eggs in shell, fresh in Afghanistan is 21564.4 t per year"
