,Area,Item,Unit,Value,Sentence
21,Afghanistan,Average dietary energy supply adequacy (percent) (3-year average),%,105,In Afghanistan the Average dietary energy supply adequacy (percent) (3-year average) is 105 %
45,Afghanistan,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day),kcal/cap/d,2242,In Afghanistan the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) is 2242 kcal/cap/d
67,Afghanistan,Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average),kcal/cap/d,2242,In Afghanistan the Dietary energy supply used in the estimation of prevalence of undernourishment (kcal/cap/day) (3-year average) is 2242 kcal/cap/d
88,Afghanistan,"Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average)",%,71,"In Afghanistan the Share of dietary energy supply derived from cereals, roots and tubers (percent) (3-year average) is 71 %"
109,Afghanistan,Average protein supply (g/cap/day) (3-year average),g/cap/d,61.9,In Afghanistan the Average protein supply (g/cap/day) (3-year average) is 61.9 g/cap/d
130,Afghanistan,Average supply of protein of animal origin (g/cap/day) (3-year average),g/cap/d,10.2,In Afghanistan the Average supply of protein of animal origin (g/cap/day) (3-year average) is 10.2 g/cap/d
150,Afghanistan,"Gross domestic product per capita, PPP, (constant 2017 international $)",Int$/cap,2138.9,"In Afghanistan the Gross domestic product per capita, PPP, (constant 2017 international $) is 2138.9 Int$/cap"
172,Afghanistan,Prevalence of undernourishment (percent) (3-year average),%,30.4,In Afghanistan the Prevalence of undernourishment (percent) (3-year average) is 30.4 %
226,Afghanistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,26.5,In Afghanistan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 26.5 %
234,Afghanistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,21.6,In Afghanistan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 21.6 %
242,Afghanistan,Prevalence of severe food insecurity in the male adult population (percent) (3-year average),%,31.4,In Afghanistan the Prevalence of severe food insecurity in the male adult population (percent) (3-year average) is 31.4 %
250,Afghanistan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,34.7,In Afghanistan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 34.7 %
258,Afghanistan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,29.3,In Afghanistan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 29.3 %
266,Afghanistan,Prevalence of severe food insecurity in the female adult population (percent) (3-year average),%,40.1,In Afghanistan the Prevalence of severe food insecurity in the female adult population (percent) (3-year average) is 40.1 %
298,Afghanistan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,76.4,In Afghanistan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 76.4 %
306,Afghanistan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,70.7,In Afghanistan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 70.7 %
314,Afghanistan,Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average),%,82,In Afghanistan the Prevalence of moderate or severe food insecurity in the male adult population (percent) (3-year average) is 82 %
322,Afghanistan,Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average),%,85.4,In Afghanistan the Prevalence of moderate or severe food insecurity in the female adult population (percent) (3-year average) is 85.4 %
