Recipe Title,Sentence
Mozzarella Loaf,"To cook Mozzarella Loaf, you need:1 long loaf Italian bread, 1 (16 oz.) pkg. Mozzarella cheese, 1/2 c. sliced olives, 1 1/2 tsp. oregano"
Deep-Dish Cherry Pie,"To cook Deep-Dish Cherry Pie, you need:6 cups fresh or frozen pitted tart cherries, thawed, drained and patted dry, 3/4 cup sugar, 3/4 cup packed brown sugar, 1/4 cup cornstarch, 1 teaspoon almond extract, Dash salt, 2 to 3 drops food coloring, optional, 3 to 4 tablespoons butter, 1-1/2 cups all-purpose flour, 1 tablespoon sugar, 1/2 teaspoon salt, 1/2 teaspoon ground nutmeg, 1/2 cup plus 2 tablespoons shortening, 4 to 5 tablespoons ice water, Milk or half-and-half cream, Additional sugar"
Asian Orange Chicken,"To cook Asian Orange Chicken, you need:Sauce, 1 1/2 cups water, 2 tablespoons orange juice, 1/4 cup lemon juice, 1/3 cup rice vinegar, 2 1/2 tablespoons soy sauce, 1 tablespoon grated orange zest, 1 cup packed brown sugar, 1/2 teaspoon minced fresh gingerroot, 1/2 teaspoon minced garlic, 2 tablespoons chopped green onions, 1/4 teaspoon red pepper flakes, 3 tablespoons cornstarch, 2 tablespoons water, Chicken, 2 lbs boneless skinless chicken breasts, cut into 1/2 inch pieces, 1 cup all-purpose flour, 1/4 teaspoon salt, 1/4 teaspoon pepper, 3 tablespoons olive oil"
Chicken Ole(Serves 10)  ,"To cook Chicken Ole(Serves 10)  , you need:6 chicken breasts, 1 medium onion, chopped, 1 can mushroom soup, 1 (5 oz.) can evaporated milk, 1/4 tsp. Tabasco sauce, 1 tsp. salt, 1 tsp. Accent, 2 cans asparagus, 1/2 c. butter, 1 (8 oz.) can mushrooms, 1 can cream of chicken soup, 1/2 lb. sharp cheese, grated, 2 tsp. soy sauce, 1/2 tsp. pepper, 2 Tbsp. chopped pimiento, 1/2 c. slivered almonds"
Natto Sushi,"To cook Natto Sushi, you need:4 sheets nori, 50 grams smoked salmon, 1/2 avocado, 1 teaspoon wasabi paste, 8 teaspoons natto fermented soybeans, 2 tablespoons soy sauce Tamari, 1 1/2 cups sushi rice, 3 tablespoons rice vinegar, 2 tablespoons cane sugar, 1/2 teaspoon salt, 3 tablespoons fresh dill"
Western Hash,"To cook Western Hash, you need:1 lb. ground beef, 1 (28 oz.) can crushed tomatoes, 1 c. rice, uncooked, 1 c. chopped green pepper, 1/2 c. chopped onion, 1/2 tsp. salt, 1/2 tsp. crushed basil, 1/2 lb. Velveeta cheese"
Hearty Broccoli Slaw ,"To cook Hearty Broccoli Slaw , you need:one bag of broccoli slaw, 1/4 cup red onion thinly sliced and quartered, 1/2 cup grated sharp cheddar cheese, 1/2 cup chopped pecans( or sunflower seeds), 1/3 cup bacon pieces( or crumbled fried bacon), dressing:, 1 cup lowfat mayo, 1/4 cup red wine vinegar, 1/4 cup sugar, 1 tbsp dijon mustard, salt/pepper to taste"
Forgotten Cookies,"To cook Forgotten Cookies, you need:2 egg whites (3 if small), beat until foamy, 2/3 c. sugar, 1 c. nuts, 1 c. chocolate bits, 1 tsp. vanilla, pinch of salt"
Zucchini Silver Dollars,"To cook Zucchini Silver Dollars, you need:3 small zucchini, washed, dried, scraped and coarsely grated, 2 eggs, 2 scallions, chopped, 1/2 c. fresh mint leaves, chopped, 1/2 c. parsley, chopped, 1/2 c. Gruyere cheese, grated, 1/2 c. flour, salt and pepper, cayenne pepper"
Biscoff Oatmeal Double Chocolate Chip Cookies,"To cook Biscoff Oatmeal Double Chocolate Chip Cookies, you need:3/4 cups Biscoff Spread, 1/2 cups Crisco (vegetable Shortening), 1/2 cups Granulated Sugar, 1/3 cups Light Brown Sugar, 4 Tablespoons Milk, 1 teaspoon Pure Vanilla Extract, 1 whole Egg, 1-1/2 cup All-purpose Flour, 3/4 Tablespoons Baking Soda, 1/4 teaspoons Salt, 1/2 cups Quaker Quick Oats, 1 cup Mini Hershey's Kisses (or Chocolate Chips), 1/2 cups White Chocolate Chips"
Inside out Pecan Pie,"To cook Inside out Pecan Pie, you need:2 refrigerated pie crusts (uncooked, dough kind), 2 12 cups light corn syrup, 2 12 cups packed brown sugar, 12 cup butter, melted, 4 12 teaspoons vanilla, 6 eggs, beaten, 2 cups pecans, chopped, cooking spray, 2 cups pecan halves"
Acorn Squash-Tomato Hash,"To cook Acorn Squash-Tomato Hash, you need:1 small acorn squash, halved and seeded, 2 tablespoons olive oil, 1 small onion, diced, 2 cloves garlic, minced, 1 (14.5 ounce) can diced tomatoes, undrained, 4 ounces fresh mushrooms, chopped, 3 tablespoons red wine, 1 tablespoon dried basil, 1/2 (5 ounce) bag fresh baby spinach, stems removed, salt and ground black pepper to taste"
Three-Cheese Calzones,"To cook Three-Cheese Calzones, you need:2 cups shredded part-skim mozzarella cheese (about 8 ounces), 1/2 cup ricotta cheese, 1/2 cup fresh basil, chopped, 2 scallions, sliced, 1/4 cup plus 2 teaspoons grated parmesan cheese (about 1 1/2 ounces), 1 tablespoon breadcrumbs, 1 pound prepared pizza dough, at room temperature, All-purpose flour, for dusting, 1 large egg, lightly beaten, Marinara sauce, warmed, for dipping, 4 ounces sliced salami, Giardiniera (Italian pickled vegetables), for serving (optional)"
Seaside Salad,"To cook Seaside Salad, you need:1 pkg. Kraft macaroni and cheese dinner, 1 (10 oz.) box frozen peas, cooked and drained, 1 (7 oz.) can tuna, drained and flaked, 1 c. celery, chopped, 1 c. Miracle Whip salad dressing, 1 c. drained pickle relish, 2 Tbsp. finely chopped onion, 2 Tbsp. chopped pimento, dash of salt"
Lemon Raisin Crisscross Cookies,"To cook Lemon Raisin Crisscross Cookies, you need:1/2 cup butter, 3/4 cup sugar, 1 egg, 1/2 teaspoon lemon extract, 1 3/4 cups flour, 3/4 teaspoon cream of tartar, 3/4 teaspoon baking soda, 1/4 teaspoon salt, 1 cup raisins"
Carrot Cupcakes,"To cook Carrot Cupcakes, you need:1 pound carrots, peeled and finely grated, 3 large eggs, room temperature, 1/3 cup buttermilk, 2 cups sugar, 1 1/2 cups vegetable oil, 1 vanilla bean, halved lengthwise, seeds scraped and reserved (or 1 1/2 teaspoons pure vanilla extract), 1/2 cup golden raisins, 3 cups all-purpose flour, 1 teaspoon baking soda, 2 teaspoons baking powder, 1 teaspoon salt, 1 teaspoon ground cinnamon, 1 teaspoon ground ginger, 1/8 teaspoon ground cloves, Cream-Cheese Frosting (page 303), Sweetened shredded coconut, toasted (see page 323), for garnish (optional)"
Pork & Pineapple Curry,"To cook Pork & Pineapple Curry, you need:1 pound, 5- 1/4 ounces, weight Streaky Pork Belly Rashers, 4 Tablespoons Flour, Seasoned With Salt And Pepper, 1 Tablespoon Olive Oil, 1 whole Medium White Onion, 1 Tablespoon Mild Curry Powder, 1 Tablespoon Paprika, 1 teaspoon Chili Powder, 1 cup, 7 tablespoons, 2 teaspoons, 1/4 pinches Vegetable Bouillon (or Other Good Stock), 3/4 pounds, 2-18 ounces, weight Tinned Pineapple Pieces In Juice, Couscous Or Rice, To Serve"
Almond Paste,"To cook Almond Paste, you need:1 lb blanched almond, 3 tablespoons fresh lemon juice, 1 cup water, 2 cups sugar"
Grandma'S Pound Cake,"To cook Grandma'S Pound Cake, you need:1 c. butter or margarine, 3 c. sugar, 6 eggs, 3 c. flour, 1 c. half and half, 2 tsp. vanilla"
