Nombre,Composición por 100g de Porción Comestible,Composition per 100g Edible Portion,P. comestible  por 1g,Edible P. per 1g,Energía kcal,kcal energy,Agua g,g water,Alcohol g,Alcohol g,Proteínas g,g proteins,H. de Carbono g,Carbon H. g,Almidón g,Starch g,Azúcares  sencillos g,Simple sugars g,Azúcares libres g,free sugars g,Fibra vegetal g,Vegetable fiber g,Grasa total g,Total fat g,AGS g,AGS g,AGM g,AGM g,AGP g,AGP g,Colesterol mg,Cholesterol mg,Vitamina A (Eq. de Retinol) µg,Vitamin A (Retinol Eq.) µg,Retinol µg,Retinol µg,Carotenoides (Eq. ß-caroteno)  µg,Carotenoids (Eq. ß-carotene) µg,Vit. D µg,Vit. D µg,Vit. E (Eq. a-tocoferol) mg,Vit. E (Eq. a-tocopherol) mg,Vit. K µg,Vit. K µg,Vitamina B1  mg,Vitamin B1 mg,Vitamina B2  mg,Vitamin B2 mg,Equivalentes de Niacina  mg,Niacin mg equivalents,Vit. B6  mg,Vit. B6mg,Eq. Folato dietético  µg,Eq. Dietary folate µg,Vit. B12  µg,Vit. B12 µg,Pantoténico  mg,Pantothenic mg,Biotina  µg,Biotin µg,Vit. C  mg,Vit. Cmg,Calcio  mg,Calcium mg,Fósforo  mg,Phosphorus mg,Hierro  mg,Iron mg,Iodo  µg,Iodine µg,Cinc  mg,Zinc mg,Magnesio  mg,Magnesium mg,Sodio  mg,Sodium mg,Potasio  mg,Potassium mg,Manganeso  mg,Manganese mg,Cobre  mg,Copper mg,Selenio  µg,Selenium µg
10101,Arroz,Rice,1,1,364,364,"9,4",9.4,0,0,"6,7",6.7,"81,6",81.6,"81,4",81.4,"0,16",0.16,0,0,"1,4",1.4,"0,9",0.9,"0,19",0.19,"0,23",0.23,"0,32",0.32,0,0,0,0,0,0,0,0,0,0,76,76,1,1,"0,05",0.05,"0,04",0.04,"4,9",4.9,"0,2",0.2,20,20,0,0,0,0,3,3,20,20,14,14,150,150,"0,8",0.8,14,14,"1,5",1.5,31,31,"3,9",3.9,109,109,"1,2",1.2,2,2,7,7
10102,Arroz blanco de cocción rápida,Quick cooking white rice,1,1,349,349,"12,9",12.9,0,0,"6,9",6.9,"78,2",78.2,"78,2",78.2,Tr.,Tr.,0,0,"1,4",1.4,"0,6",0.6,"0,15",0.15,"0,17",0.17,"0,2",0.2,0,0,0,0,0,0,0,0,0,0,"0,1",0.1,1,1,"0,22",0.22,"0,06",0.06,"4,7",4.7,"0,38",0.38,20,20,0,0,"1,1",1.1,3,3,0,0,34,34,150,150,"1,4",1.4,14,14,"1,8",1.8,31,31,4,4,150,150,"1,2",1.2,"0,37",0.37,10,10
10103,Arroz integral,brown rice,1,1,350,350,"14,2",14.2,0,0,"7,3",7.3,"74,1",74.1,"72,7",72.7,"1,4",1.4,0,0,"2,2",2.2,"2,2",2.2,"0,61",0.61,"0,55",0.55,"0,81",0.81,0,0,0,0,0,0,___,___,0,0,"0,74",0.74,1,1,"0,41",0.41,"0,09",0.09,"6,6",6.6,"0,28",0.28,49,49,0,0,"1,5",1.5,12,12,0,0,21,21,310,310,"1,7",1.7,"2,2",2.2,"1,6",1.6,110,110,10,10,238,238,"2,1",2.1,"0,29",0.29,10,10
10104,Arroz salvaje,wild rice,1,1,356,356,"7,8",7.8,0,0,"14,7",14.7,"68,7",68.7,"66,2",66.2,"2,5",2.5,0,0,"6,2",6.2,"1,1",1.1,"0,16",0.16,"0,16",0.16,"0,68",0.68,0,0,"1,8",1.8,0,0,11,11,0,0,"0,82",0.82,___,___,"0,12",0.12,"0,26",0.26,"6,7",6.7,"0,39",0.39,95,95,0,0,___,___,___,___,0,0,21,21,433,433,2,2,10,10,6,6,177,177,7,7,427,427,___,___,___,___,"2,8",2.8
10105,Avena,Oatmeal,1,1,353,353,"15,8",15.8,0,0,"11,7",11.7,"55,7",55.7,"55,7",55.7,Tr.,Tr.,0,0,"9,7",9.7,"7,1",7.1,"1,5",1.5,"2,6",2.6,"2,9",2.9,0,0,0,0,0,0,___,___,0,0,"0,84",0.84,50,50,"0,67",0.67,"0,17",0.17,"3,4",3.4,"0,96",0.96,33,33,0,0,"0,71",0.71,13,13,0,0,80,80,342,342,"5,8",5.8,"7,7",7.7,"3,2",3.2,129,129,"8,4",8.4,355,355,"3,1",3.1,"0,42",0.42,"7,1",7.1
10106,Bulgur,Bulgur,1,1,344,344,9,9,0,0,"12,3",12.3,"64,5",64.5,"64,1",64.1,"0,41",0.41,0,0,"12,5",12.5,"1,3",1.3,___,___,___,___,___,___,___,___,0,0,0,0,5,5,0,0,"0,06",0.06,___,___,"0,23",0.23,"0,12",0.12,"5,1",5.1,"0,34",0.34,27,27,0,0,___,___,___,___,0,0,35,35,300,300,"2,5",2.5,___,___,"1,9",1.9,164,164,17,17,410,410,___,___,___,___,"2,3",23
10107,Cebada,Barley,1,1,330,330,"10,1",10.1,0,0,"9,9",9.9,"62,1",62.1,"61,3",61.3,"0,8",0.8,0,0,"15,6",15.6,"1,2",1.2,"0,24",0.24,"0,15",0.15,"0,56",0.56,0,0,"2,2",2.2,0,0,13,13,0,0,"0,02",0.02,"2,2",2.2,"0,19",0.19,"0,11",0.11,"4,6",4.6,"0,26",0.26,23,23,0,0,"0,28",0.28,___,___,0,0,29,29,221,221,"2,5",2.5,___,___,"2,1",2.1,79,79,9,9,280,280,"1,3",1.3,"0,42",0.42,"37,7",37.7
10108,Centeno,Rye,1,1,372,372,0,0,0,0,"14,8",14.8,"65,2",65.2,"64,2",64.2,"1,1",1.1,0,0,"14,6",14.6,"2,5",2.5,"0,29",0.29,"0,3",0.3,"1,1",1.1,0,0,"1,2",1.2,0,0,7,7,0,0,"1,9",1.9,"5,9",5.9,"0,32",0.32,"0,25",0.25,"4,3",4.3,"0,29",0.29,38,38,0,0,"1,5",1.5,___,___,0,0,33,33,374,374,"2,7",2.7,10,10,"3,7",3.7,121,121,6,6,264,264,___,___,"0,45",0.45,"35,3",35.3
10109,Fécula de maíz,corn starch,1,1,356,356,"10,9",10.9,0,0,"0,41",0.41,88,88,88,88,Tr.,Tr.,0,0,"0,6",0.6,"0,08",0.08,11,11,"0,02",0.02,"0,03",0.03,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,8,8,"0,03",0.03,5,5,1,1,0,0,0,0,___,___,0,0,1,1,30,30,"0,5",0.5,"2,5",2.5,"0,3",0.3,2,2,3,3,7,7,1,1,"0,05",0.05,"2,8",2.8
10110,Germen de trigo,wheat germ,1,1,355,355,"13,9",13.9,0,0,"28,6",28.6,"30,6",30.6,"15,4",15.4,"15,2",15.2,0,0,"17,7",17.7,"9,2",9.2,"1,2",1.2,"1,2",1.2,4,4,0,0,"10,3",10.3,0,0,62,62,0,0,"24,4",24.4,131,131,2,2,"0,72",0.72,"9,2",9.2,"0,49",0.49,520,520,0,0,1,1,17,17,0,0,49,49,1022,1022,"8,5",8.5,10,10,17,17,285,285,5,5,993,993,"16,3",16.3,"1,1",1.1,3,3
10111,"Gofio canario, tostado","Canarian gofio, toasted",1,1,356,356,"6,1",6.1,0,0,"10,1",10.1,"64,8",64.8,"63,4",63.4,"1,4",1.4,0,0,"16,2",16.2,"2,7",2.7,"0,31",0.31,"0,36",0.36,"1,2",1.2,0,0,0,0,0,0,0,0,0,0,"0,4",0.4,___,___,"0,21",0.21,"0,04",0.04,"4,6",4.6,"0,3",0.3,25,25,0,0,___,___,___,___,0,0,"16,8",16.8,314,314,"6,8",6.8,___,___,"0,7",0.7,103,103,214,214,136,136,___,___,___,___,___,___
10112,Harina de arroz,Rice flour,1,1,349,349,"11,9",11.9,0,0,"7,6",7.6,78,78,"77,9",77.9,"0,12",0.12,0,0,0,0,"0,7",0.7,"0,2",0.2,"0,22",0.22,"0,19",0.19,0,0,0,0,0,0,0,0,0,0,"0,11",0.11,0,0,"0,14",0.14,21,21,"2,6",2.6,"0,44",0.44,4,4,0,0,___,___,___,___,0,0,10,10,98,98,"0,35",0.35,___,___,"0,8",0.8,35,35,0,0,76,76,___,___,___,___,___,___
10113,Harina de centeno,Rye flour,1,1,326,326,"13,4",13.4,0,0,10,10,"59,7",59.7,"59,7",59.7,0,0,0,0,15,15,"1,9",1.9,"0,24",0.24,"0,2",0.2,"0,85",0.85,0,0,0,0,0,0,0,0,0,0,"1,5",1.5,___,___,"0,3",0.3,"0,2",0.2,"1,6",1.6,"0,3",0.3,70,70,___,___,___,___,___,___,0,0,27,27,286,286,"2,6",2.6,___,___,3,3,82,82,2,2,390,390,___,___,___,___,"14,4",14.4
10114,Harina de maíz,Cornmeal,1,1,342,342,"13,2",13.2,0,0,"8,3",8.3,"66,3",66.3,"66,3",66.3,Tr.,Tr.,0,0,"9,4",9.4,"2,8",2.8,"0,35",0.35,"0,88",0.88,"1,4",1.4,0,0,50,50,0,0,300,300,0,0,Tr.,Tr.,1,1,"0,44",0.44,"0,13",0.13,"0,82",0.82,"0,06",0.06,10,10,0,0,"0,55",0.55,"6,6",6.6,0,0,18,18,39,39,"2,4",2.4,80,80,"1,6",1.6,47,47,"0,7",0.7,120,120,"0,46",0.46,"0,13",0.13,"15,4",15.4
10115,Harina de trigo,wheat flour,1,1,341,341,14,14,0,0,"9,9",9.9,"70,6",70.6,"69,9",69.9,"0,7",0.7,0,0,"4,3",4.3,"1,2",1.2,"0,16",0.16,"0,13",0.13,"0,51",0.51,0,0,"0,17",0.17,0,0,1,1,0,0,"0,34",0.34,"32,7",32.7,"0,11",0.11,"0,03",0.03,"2,3",23,"0,1",0.1,16,16,0,0,"0,4",0.4,"1,1",1.1,0,0,17,17,108,108,1,1,10,10,"0,78",0.78,23,23,2,2,146,146,"0,69",0.69,"0,14",0.14,4,4
10116,Harina integral de trigo,Whole wheat flour,1,1,322,322,"17,8",17.8,0,0,"12,7",12.7,"58,3",58.3,"56,2",56.2,"2,1",2.1,0,0,9,9,"2,2",2.2,"0,28",0.28,"0,21",0.21,"0,89",0.89,0,0,0,0,0,0,0,0,0,0,"1,4",1.4,"65,5",65.5,"0,47",0.47,"0,09",0.09,"8,2",8.2,"0,5",0.5,57,57,0,0,"0,8",0.8,7,7,0,0,38,38,320,320,"3,9",3.9,0,0,"2,9",2.9,120,120,3,3,340,340,"3,1",3.1,"0,45",0.45,53,53
10117,Maíz en grano hervido en lata,Canned boiled corn kernels,1,1,102,102,"74,9",74.9,0,0,"3,3",3.3,"18,2",18.2,"13,7",13.7,"4,5",4.5,0,0,"2,3",23,"1,3",1.3,"0,2",0.2,"0,37",0.37,"0,6",0.6,0,0,13,13,0,0,___,___,0,0,"0,45",0.45,1,1,"0,04",0.04,"0,08",0.08,"1,8",1.8,"0,09",0.09,33,33,0,0,"0,88",0.88,___,___,1,1,3,3,69,69,"0,6",0.6,1,1,"0,3",0.3,22,22,288,288,200,200,"0,19",0.19,53,53,"0,8",0.8
